odos_uid,source_id,cohort,round,scholarship_type,cohort_round,sex,birth_year_be,high_school_track,region,province_code,province,district,economic_corridor,initial_status,initial_country,initial_field_group,initial_field,study_start_date,study_end_dropout_date,graduation_expected_date,restart_thailand_date,project_condition_status,overall_status,after_m6_status,current_status,current_continent,current_country,current_field_group,current_field,program_funding_years,funding_period_academic_year,contract_status,latest_degree,gpa_numeric,study_duration_years,ocs_report_date,moe_report_date,masters_country,masters_field_group,masters_field,doctoral_country,doctoral_field_group,doctoral_field,employment_type,employment_detail,employment_evidence_status,workplace_province_country,work_start_date,income_monthly_est,welfare,domicile_employment_relation,field_job_fit,field_job_fit_level,local_fit,local_fit_level,job_satisfaction,job_satisfaction_level,wants_government,wants_government_flag,desired_government_position,wants_moe,desired_agency_other,target_graduation_success,target_scholarship_risk,target_tracking_risk,target_employment_ready,target_field_mismatch,target_local_mismatch,split
ODOS00001,1,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,31,บุรีรัมย์,ห้วยราช,,สำเร็จการศึกษาปริญญาตรี,ญี่ปุ่น,กลุ่มพาณิชยกรรม,ธุระกิจระหว่างประเทศ,2004-01-01,,2008-08-11,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ญี่ปุ่น,กลุ่มบริหารจัดการ,บริหารธุรกิจ (Business Administration),,,ทำสัญญา ก.พ.,ปริญญาตรี,,4.61,,,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,กรุงเทพ,,,,จังหวัดต่างภูมิภาค,สอดคล้องปานกลาง,2,สอดคล้องน้อย,1,,,,,,,,1,0,0,1,0,1,development
ODOS00002,2,1,,,1 /,หญิง,2528,สามัญ,กลาง,62,กำแพงเพชร,เมืองกำแพงเพชร,,สำเร็จการศึกษาปริญญาตรี,สาธารณรัฐประชาชนจีน,กลุ่มพาณิชยกรรม,การค้าระหว่างประเทศ,2004-09-10,,2011-02-17,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,สำเร็จการศึกษาปริญญาตรี,เอเชีย,สาธารณรัฐประชาชนจีน,กลุ่มบริหารจัดการ,เศรษฐศาสตร์ (Economics),,,ทำสัญญา ก.พ.,ปริญญาตรี,,6.44,,,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,กรุงเทพ,,,,จังหวัดในภูมิภาคเดียวกัน,สอดคล้องปานกลาง,2,สอดคล้องน้อย,1,,,,,,,,1,0,0,1,0,1,validation
ODOS00003,3,1,,,1 /,หญิง,2528,สามัญ,กลาง,73,นครปฐม,บางเลน,CWEC,สำเร็จการศึกษาปริญญาตรี,สาธารณรัฐประชาชนจีน,กลุ่มบริหารจัดการ,เศรษฐศาสตร์,2004-01-01,,2011-01-26,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,สำเร็จการศึกษาปริญญาตรี,เอเชีย,สาธารณรัฐประชาชนจีน,กลุ่มบริหารจัดการ,เศรษฐศาสตร์ (Economics),,,ทำสัญญา ก.พ.,ปริญญาตรี,,7.07,,,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,,,,,N/A,สอดคล้องน้อย,1,N/A,,,,,,,,,1,0,0,1,1,0,development
ODOS00004,4,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,42,เลย,เชียงคาน,,สำเร็จการศึกษาปริญญาตรี,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,สาขาวิชาชีววิทยา (วิทยาศาสตร์การอาหาร),2004-01-01,,2011-05-05,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,สำเร็จการศึกษาปริญญาตรี,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์ (Science),,,ทำสัญญา ก.พ.,ปริญญาเอก,,7.34,2012-02-20,,,,,,,,ภาครัฐ,อาจารย์มหาวิทยาลัย,,เลย,,,,จังหวัดภูมิลำเนา,สอดคล้องมาก,3,สอดคล้องมาก,3,มาก,3,ต้องการ,1,,,,1,0,0,1,0,0,development
ODOS00005,5,1,,,1 /,หญิง,2528,สามัญ,กลาง,65,พิษณุโลก,วังทอง,,สำเร็จการศึกษาปริญญาตรี,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,วิทยาศาสตร์การแพทย์คู่ขนานนิติศาสตร์,2004-01-01,,2011-01-26,2011-01-26,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,สำเร็จการศึกษาในประเทศไทย,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,วิทยาศาสตร์การแพทย์,,,ทำสัญญา สกอ.,ปริญญาตรี,,7.07,,,,,,,,,ภาครัฐ,"เจ้าหน้าที่ในหน่วยงานของรัฐ,พนักงานราชการ, ลูกจ้าง",,พิษณุโลก,,,,จังหวัดภูมิลำเนา,สอดคล้องมาก,3,สอดคล้องมาก,3,,,,,,,,1,0,0,1,0,0,development
ODOS00006,6,1,,,1 /,หญิง,2528,สามัญ,กลาง,61,อุทัยธานี,หนองฉาง,,ปรับเปลี่ยนมาศึกษาในประเทศ,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,Food Science,2004-01-01,,2011-03-21,2011-03-21,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,ต่างประเทศ=>ประเทศไทย=>สำเร็จการศึกษา,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มศิลปศาสตร์,นิเทศศาสตร์ (Communication Arts),,,ทำสัญญา สกอ.,ปริญญาตรี,3.66,7.22,,2012-05-01,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,กรุงเทพ,,23600.0,,จังหวัดในภูมิภาคเดียวกัน,สอดคล้องน้อย,1,สอดคล้องน้อย,1,,,,,,,,1,0,0,1,1,1,development
ODOS00007,7,1,,,1 /,หญิง,2528,สามัญ,ตะวันออก,21,ระยอง,เขาชะเมา,EEC,สำเร็จการศึกษาปริญญาตรี,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,อนามัยสิ่งแวดล้อม,2004-01-01,,2011-01-26,2011-01-26,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,สำเร็จการศึกษาในประเทศไทย,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,อนามัยสิ่งแวดล้อม,,,ทำสัญญา สกอ.,ปริญญาตรี,3.04,7.07,,,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,กรุงเทพ,,15140.0,,จังหวัดในภูมิภาคเดียวกัน,สอดคล้องมาก,3,สอดคล้องน้อย,1,,,,,,,,1,0,0,1,0,1,validation
ODOS00008,8,1,,,1 /,หญิง,2529,สามัญ,เหนือ,55,น่าน,สองแคว,,สำเร็จการศึกษาปริญญาตรี,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,วิทยาศาสตร์สุขภาพและพยาบาลศาสตร์,2004-01-01,,2011-01-26,2011-01-26,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,สำเร็จการศึกษาในประเทศไทย,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มวิชาชีพเฉพาะทาง,วิทยาศาสตร์สุขภาพและพยาบาลศาสตร์,,,ทำสัญญา สกอ.,ปริญญาตรี,2.97,7.07,,,,,,,,,ภาครัฐ,"แพทย์,พยาบาล,บุคลากรทางการแพทย์ของรัฐ",,กรุงเทพ,,,,จังหวัดต่างภูมิภาค,สอดคล้องมาก,3,สอดคล้องน้อย,1,,,,,,,,1,0,0,1,0,1,validation
ODOS00009,9,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,33,ศรีสะเกษ,ศิลาลาด,,สำเร็จการศึกษาปริญญาตรี,ประเทศไทย,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์(ชีววิทยา),2004-01-01,,2011-01-26,2011-01-26,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,สำเร็จการศึกษาในประเทศไทย,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์(ชีววิทยา),,,ทำสัญญา สกอ.,ปริญญาตรี,2.99,7.07,,,,,,,,,ภาครัฐ,"ข้าราชการครู,ครูผู้ช่วย,ครูอัตราจ้างในหน่วยงานของรัฐ",,ยโสธร,,15140.0,,จังหวัดในภูมิภาคเดียวกัน,สอดคล้องมาก,3,สอดคล้องปานกลาง,2,,,,,,,,1,0,0,1,0,0,development
ODOS00010,10,1,,,1 /,หญิง,2528,สามัญ,กลาง,18,ชัยนาท,หันคา,,สำเร็จการศึกษาปริญญาตรี,ประเทศไทย,กลุ่มวิทยาศาสตร์,ฟิสิกส์เน้น ฟิสิกส์และคอมพิวเตอร์,2004-01-01,,2011-01-26,2011-01-26,สำเร็จการศึกษา,สำเร็จการศึกษาในประเทศ,สำเร็จการศึกษาในประเทศไทย,สำเร็จการศึกษาปริญญาตรี,เอเชีย,ประเทศไทย,กลุ่มวิทยาศาสตร์,ฟิสิกส์ เน้นฟิสิกส์และคอมพิวเตอร์,,,ทำสัญญา สกอ.,ปริญญาตรี,3.49,7.07,,,,,,,,,ภาครัฐ,"ข้าราชการครู,ครูผู้ช่วย,ครูอัตราจ้างในหน่วยงานของรัฐ",,ชัยนาท,,,,จังหวัดภูมิลำเนา,สอดคล้องมาก,3,สอดคล้องมาก,3,,,,,,,,1,0,0,1,0,0,development
